Date,Index Value
30/04/2017,0
01/05/2017,0
02/05/2017,0
03/05/2017,0
04/05/2017,0
05/05/2017,0
06/05/2017,0
07/05/2017,0
08/05/2017,0
09/05/2017,0
10/05/2017,0
11/05/2017,0
12/05/2017,0
13/05/2017,0
14/05/2017,0
15/05/2017,0
16/05/2017,0
17/05/2017,0
18/05/2017,0
19/05/2017,0
20/05/2017,0
21/05/2017,0
22/05/2017,0
23/05/2017,0
24/05/2017,0
25/05/2017,0
26/05/2017,0
27/05/2017,0
28/05/2017,0
29/05/2017,0
30/05/2017,0
31/05/2017,0
01/06/2017,0
02/06/2017,0
03/06/2017,0
04/06/2017,0
05/06/2017,0
06/06/2017,0
07/06/2017,0
08/06/2017,0
09/06/2017,0
10/06/2017,0
11/06/2017,0
12/06/2017,0
13/06/2017,0
14/06/2017,0
15/06/2017,0
16/06/2017,0
17/06/2017,0
18/06/2017,0
19/06/2017,0
20/06/2017,0
21/06/2017,0
22/06/2017,0
23/06/2017,0
24/06/2017,0
25/06/2017,0
26/06/2017,0
27/06/2017,0
28/06/2017,0
29/06/2017,0
30/06/2017,0
01/07/2017,1565.746628
02/07/2017,1556.279426
03/07/2017,1596.551115
04/07/2017,1630.524916
05/07/2017,1662.493308
06/07/2017,1693.714111
07/07/2017,1688.931763
08/07/2017,1655.825543
09/07/2017,1676.511504
10/07/2017,1657.360374
11/07/2017,1578.709114
12/07/2017,1590.249234
13/07/2017,1577.80958
14/07/2017,1583.794593
15/07/2017,1489.295565
16/07/2017,1335.649784
17/07/2017,1307.566529
18/07/2017,1517.734317
19/07/2017,1518.286643
20/07/2017,1553.435495
21/07/2017,2041.001913
22/07/2017,1859.79376
23/07/2017,1972.763763
24/07/2017,1908.648268
25/07/2017,1934.379987
26/07/2017,1806.934122
27/07/2017,1779.314945
28/07/2017,1911.289382
29/07/2017,2065.625733
30/07/2017,1938.289854
31/07/2017,2012.18472
01/08/2017,2102.769481
02/08/2017,1880.323568
03/08/2017,1892.074112
04/08/2017,1965.161918
05/08/2017,2030.0508
06/08/2017,2327.104727
07/08/2017,2272.026202
08/08/2017,2420.409822
09/08/2017,2378.604012
10/08/2017,2318.8728
11/08/2017,2380.19256
12/08/2017,2572.641667
13/08/2017,2798.536495
14/08/2017,3020.802496
15/08/2017,3279.248238
16/08/2017,3168.761315
17/08/2017,3326.669098
18/08/2017,3243.92841
19/08/2017,3089.332799
20/08/2017,3129.941826
21/08/2017,3022.640928
22/08/2017,2884.687941
23/08/2017,2997.440797
24/08/2017,3001.969538
25/08/2017,3168.200296
26/08/2017,3200.601058
27/08/2017,3202.967601
28/08/2017,3092.235277
29/08/2017,3113.569722
30/08/2017,3241.990195
31/08/2017,3213.468889
01/09/2017,3319.490776
02/09/2017,3452.852905
03/09/2017,3294.47203
04/09/2017,3286.500694
05/09/2017,3157.926943
06/09/2017,3199.768816
07/09/2017,3307.554928
08/09/2017,3321.179738
09/09/2017,3163.877259
10/09/2017,3166.370789
11/09/2017,3111.911761
12/09/2017,3074.233948
13/09/2017,3045.727395
14/09/2017,2809.849769
15/09/2017,2407.083406
16/09/2017,2760.779403
17/09/2017,2755.905591
18/09/2017,2740.519215
19/09/2017,3000.364328
20/09/2017,2870.237873
21/09/2017,2840.260137
22/09/2017,2682.522396
23/09/2017,2659.390507
24/09/2017,2758.93165
25/09/2017,2654.588797
26/09/2017,2863.433452
27/09/2017,2828.100327
28/09/2017,3080.413816
29/09/2017,3119.975522
30/09/2017,3116.148305
01/10/2017,4598.309791
02/10/2017,4657.368414
03/10/2017,4686.346464
04/10/2017,4622.433196
05/10/2017,4487.213787
06/10/2017,4572.988239
07/10/2017,4614.861623
08/10/2017,4681.666144
09/10/2017,4890.710328
10/10/2017,5156.297258
11/10/2017,5142.057463
12/10/2017,5220.434185
13/10/2017,6027.191111
14/10/2017,6202.465132
15/10/2017,6408.867635
16/10/2017,6247.351707
17/10/2017,6323.448908
18/10/2017,6224.251038
19/10/2017,6221.5489
20/10/2017,6399.257618
21/10/2017,6849.103272
22/10/2017,6893.093977
23/10/2017,6890.056504
24/10/2017,6785.172089
25/10/2017,6235.824986
26/10/2017,6522.592875
27/10/2017,6742.210294
28/10/2017,6606.07378
29/10/2017,6558.156175
30/10/2017,7156.244676
31/10/2017,7123.92325
01/11/2017,7581.507132
02/11/2017,8108.621993
03/11/2017,8509.200779
04/11/2017,8607.737871
05/11/2017,8948.50466
06/11/2017,8961.139947
07/11/2017,8353.834404
08/11/2017,8597.847275
09/11/2017,9013.869443
10/11/2017,8514.032908
11/11/2017,7802.325399
12/11/2017,7386.650023
13/11/2017,6787.440473
14/11/2017,7692.063146
15/11/2017,7716.850788
16/11/2017,8664.875761
17/11/2017,9414.913083
18/11/2017,9220.213687
19/11/2017,9256.920709
20/11/2017,9565.393722
21/11/2017,9805.622745
22/11/2017,9666.394305
23/11/2017,9764.426364
24/11/2017,9344.292994
25/11/2017,9339.082948
26/11/2017,10087.63801
27/11/2017,10875.42911
28/11/2017,11412.453
29/11/2017,11679.50429
30/11/2017,11877.44806
01/12/2017,12002.22693
02/12/2017,13109.65476
03/12/2017,13197.64843
04/12/2017,13652.40565
05/12/2017,14143.04006
06/12/2017,14336.75573
07/12/2017,17673.22328
08/12/2017,22162.28047
09/12/2017,20715.73658
10/12/2017,18961.04753
11/12/2017,19287.61653
12/12/2017,21152.61605
13/12/2017,21159.15748
14/12/2017,19716.3917
15/12/2017,19581.63949
16/12/2017,21238.93718
17/12/2017,23821.28986
18/12/2017,23279.55542
19/12/2017,22685.25989
20/12/2017,20835.66627
21/12/2017,19182.67802
22/12/2017,17708.58819
23/12/2017,16151.59436
24/12/2017,17041.84899
25/12/2017,16155.03354
26/12/2017,15842.80425
27/12/2017,18124.82771
28/12/2017,17591.87626
29/12/2017,16375.05762
30/12/2017,15832.38014
31/12/2017,13593.66917
01/01/2018,4196.0977
02/01/2018,4001.118517
03/01/2018,4336.112488
04/01/2018,4351.65341
05/01/2018,4381.830903
06/01/2018,5120.362415
07/01/2018,5045.305529
08/01/2018,4545.130146
09/01/2018,4191.252259
10/01/2018,3961.953116
11/01/2018,4129.732811
12/01/2018,3665.274338
13/01/2018,3758.359501
14/01/2018,3787.250524
15/01/2018,3670.420196
16/01/2018,3725.00049
17/01/2018,3196.254344
18/01/2018,3108.439666
19/01/2018,3096.086317
20/01/2018,3189.13373
21/01/2018,3548.215453
22/01/2018,3209.560238
23/01/2018,2977.831568
24/01/2018,3004.725034
25/01/2018,3157.050436
26/01/2018,3087.612556
27/01/2018,3089.658368
28/01/2018,3156.039578
29/01/2018,3136.337814
30/01/2018,3029.77263
31/01/2018,2712.904464
01/02/2018,2730.531658
02/02/2018,2424.422831
03/02/2018,2437.084083
04/02/2018,2502.45267
05/02/2018,2223.225419
06/02/2018,1873.433742
07/02/2018,2095.791889
08/02/2018,2085.072494
09/02/2018,2260.790719
10/02/2018,2346.481254
11/02/2018,2312.825658
12/02/2018,2172.861716
13/02/2018,2416.488891
14/02/2018,2306.746766
15/02/2018,2519.714421
16/02/2018,2708.661296
17/02/2018,2744.174733
18/02/2018,3064.197175
19/02/2018,2874.524337
20/02/2018,3123.338161
21/02/2018,3202.38536
22/02/2018,2976.733695
23/02/2018,2796.362029
24/02/2018,2857.489665
25/02/2018,2701.432087
26/02/2018,2640.140959
27/02/2018,2892.873201
28/02/2018,2991.831973
01/03/2018,2939.0135
02/03/2018,3143.929126
03/03/2018,3197.659993
04/03/2018,3367.062185
05/03/2018,3350.723275
06/03/2018,3363.211856
07/03/2018,3138.385516
08/03/2018,2898.802473
09/03/2018,2714.475785
10/03/2018,2648.898797
11/03/2018,2523.232713
12/03/2018,2763.299494
13/03/2018,2648.457722
